"TIME","GEO","SPDEPS","UNIT","Value","Flag and Footnotes"
"2009","European Union (25 countries)","Sickness/Health care","Million units of national currency",":",""
"2009","European Union (25 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","8.1","p"
"2009","European Union (25 countries)","Sickness/Health care","Percentage of total expenditure","27.92","p"
"2009","European Union (15 countries)","Total expenditure","Million euro","3,343,365.68","p"
"2009","European Union (15 countries)","Total expenditure","Million euro (at constant 2010 prices)","3,426,071.03","p"
"2009","European Union (15 countries)","Total expenditure","Euro per inhabitant","8,428.36","p"
"2009","European Union (15 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)","8,636.85","p"
"2009","European Union (15 countries)","Total expenditure","Million units of national currency",":",""
"2009","European Union (15 countries)","Total expenditure","Percentage of gross domestic product (GDP)","29.5","p"
"2009","European Union (15 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2009","European Union (15 countries)","Social protection benefits","Million euro","3,200,216.99","p"
"2009","European Union (15 countries)","Social protection benefits","Million euro (at constant 2010 prices)","3,279,381.25","p"
"2009","European Union (15 countries)","Social protection benefits","Euro per inhabitant","8,067.49","p"
"2009","European Union (15 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)","8,267.06","p"
"2009","European Union (15 countries)","Social protection benefits","Million units of national currency",":",""
"2009","European Union (15 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","28.2","p"
"2009","European Union (15 countries)","Social protection benefits","Percentage of total expenditure","95.72","p"
"2009","European Union (15 countries)","Administration costs","Million euro","107,091.29","p"
"2009","European Union (15 countries)","Administration costs","Million euro (at constant 2010 prices)","109,740.42","p"
"2009","European Union (15 countries)","Administration costs","Euro per inhabitant","269.97","p"
"2009","European Union (15 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)","276.65","p"
"2009","European Union (15 countries)","Administration costs","Million units of national currency",":",""
"2009","European Union (15 countries)","Administration costs","Percentage of gross domestic product (GDP)","0.9","p"
"2009","European Union (15 countries)","Administration costs","Percentage of total expenditure","3.20","p"
"2009","European Union (15 countries)","Other expenditure","Million euro","36,057.40","p"
"2009","European Union (15 countries)","Other expenditure","Million euro (at constant 2010 prices)","36,949.36","p"
"2009","European Union (15 countries)","Other expenditure","Euro per inhabitant","90.90","p"
"2009","European Union (15 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)","93.15","p"
"2009","European Union (15 countries)","Other expenditure","Million units of national currency",":",""
"2009","European Union (15 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2009","European Union (15 countries)","Other expenditure","Percentage of total expenditure","1.08","p"
"2009","European Union (15 countries)","Sickness/Health care","Million euro","936,566.36","p"
"2009","European Union (15 countries)","Sickness/Health care","Million euro (at constant 2010 prices)","959,734.35","p"
"2009","European Union (15 countries)","Sickness/Health care","Euro per inhabitant","2,361.01","p"
"2009","European Union (15 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)","2,419.41","p"
"2009","European Union (15 countries)","Sickness/Health care","Million units of national currency",":",""
"2009","European Union (15 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","8.3","p"
"2009","European Union (15 countries)","Sickness/Health care","Percentage of total expenditure","28.01","p"
"2009","Euro area (19 countries)","Total expenditure","Million euro","2,720,802.49","p"
"2009","Euro area (19 countries)","Total expenditure","Million euro (at constant 2010 prices)","2,759,266.67","p"
"2009","Euro area (19 countries)","Total expenditure","Euro per inhabitant","8,124.99","p"
"2009","Euro area (19 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)","8,239.86","p"
"2009","Euro area (19 countries)","Total expenditure","Million units of national currency",":",""
"2009","Euro area (19 countries)","Total expenditure","Percentage of gross domestic product (GDP)","29.3","p"
"2009","Euro area (19 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2009","Euro area (19 countries)","Social protection benefits","Million euro","2,593,959.77","p"
"2009","Euro area (19 countries)","Social protection benefits","Million euro (at constant 2010 prices)","2,630,630.76","p"
"2009","Euro area (19 countries)","Social protection benefits","Euro per inhabitant","7,746.21","p"
"2009","Euro area (19 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)","7,855.72","p"
"2009","Euro area (19 countries)","Social protection benefits","Million units of national currency",":",""
"2009","Euro area (19 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","27.9","p"
"2009","Euro area (19 countries)","Social protection benefits","Percentage of total expenditure","95.34","p"
"2009","Euro area (19 countries)","Administration costs","Million euro","96,739.14","p"
"2009","Euro area (19 countries)","Administration costs","Million euro (at constant 2010 prices)","98,106.75","p"
"2009","Euro area (19 countries)","Administration costs","Euro per inhabitant","288.89","p"
"2009","Euro area (19 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)","292.97","p"
"2009","Euro area (19 countries)","Administration costs","Million units of national currency",":",""
"2009","Euro area (19 countries)","Administration costs","Percentage of gross domestic product (GDP)","1.0","p"
"2009","Euro area (19 countries)","Administration costs","Percentage of total expenditure","3.56","p"
"2009","Euro area (19 countries)","Other expenditure","Million euro","30,103.58","p"
"2009","Euro area (19 countries)","Other expenditure","Million euro (at constant 2010 prices)","30,529.16","p"
"2009","Euro area (19 countries)","Other expenditure","Euro per inhabitant","89.90","p"
"2009","Euro area (19 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)","91.17","p"
"2009","Euro area (19 countries)","Other expenditure","Million units of national currency",":",""
"2009","Euro area (19 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2009","Euro area (19 countries)","Other expenditure","Percentage of total expenditure","1.11","p"
"2009","Euro area (19 countries)","Sickness/Health care","Million euro","769,969.95","p"
"2009","Euro area (19 countries)","Sickness/Health care","Million euro (at constant 2010 prices)","780,855.07","p"
"2009","Euro area (19 countries)","Sickness/Health care","Euro per inhabitant","2,299.32","p"
"2009","Euro area (19 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)","2,331.83","p"
"2009","Euro area (19 countries)","Sickness/Health care","Million units of national currency",":",""
"2009","Euro area (19 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","8.3","p"
"2009","Euro area (19 countries)","Sickness/Health care","Percentage of total expenditure","28.30","p"
"2009","Euro area (18 countries)","Total expenditure","Million euro","2,715,150.66","p"
"2009","Euro area (18 countries)","Total expenditure","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (18 countries)","Total expenditure","Euro per inhabitant","8,185.43","p"
"2009","Euro area (18 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (18 countries)","Total expenditure","Million units of national currency",":",""
"2009","Euro area (18 countries)","Total expenditure","Percentage of gross domestic product (GDP)","29.3","p"
"2009","Euro area (18 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2009","Euro area (18 countries)","Social protection benefits","Million euro","2,588,470.87","p"
"2009","Euro area (18 countries)","Social protection benefits","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (18 countries)","Social protection benefits","Euro per inhabitant","7,803.52","p"
"2009","Euro area (18 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (18 countries)","Social protection benefits","Million units of national currency",":",""
"2009","Euro area (18 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","27.9","p"
"2009","Euro area (18 countries)","Social protection benefits","Percentage of total expenditure","95.33","p"
"2009","Euro area (18 countries)","Administration costs","Million euro","96,604.57","p"
"2009","Euro area (18 countries)","Administration costs","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (18 countries)","Administration costs","Euro per inhabitant","291.24","p"
"2009","Euro area (18 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (18 countries)","Administration costs","Million units of national currency",":",""
"2009","Euro area (18 countries)","Administration costs","Percentage of gross domestic product (GDP)","1.0","p"
"2009","Euro area (18 countries)","Administration costs","Percentage of total expenditure","3.56","p"
"2009","Euro area (18 countries)","Other expenditure","Million euro","30,075.22","p"
"2009","Euro area (18 countries)","Other expenditure","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (18 countries)","Other expenditure","Euro per inhabitant","90.67","p"
"2009","Euro area (18 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (18 countries)","Other expenditure","Million units of national currency",":",""
"2009","Euro area (18 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2009","Euro area (18 countries)","Other expenditure","Percentage of total expenditure","1.11","p"
"2009","Euro area (18 countries)","Sickness/Health care","Million euro","768,512.87","p"
"2009","Euro area (18 countries)","Sickness/Health care","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (18 countries)","Sickness/Health care","Euro per inhabitant","2,316.85","p"
"2009","Euro area (18 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (18 countries)","Sickness/Health care","Million units of national currency",":",""
"2009","Euro area (18 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","8.3","p"
"2009","Euro area (18 countries)","Sickness/Health care","Percentage of total expenditure","28.30","p"
"2009","Euro area (17 countries)","Total expenditure","Million euro","2,711,996.44","p"
"2009","Euro area (17 countries)","Total expenditure","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (17 countries)","Total expenditure","Euro per inhabitant","8,229.05","p"
"2009","Euro area (17 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (17 countries)","Total expenditure","Million units of national currency",":",""
"2009","Euro area (17 countries)","Total expenditure","Percentage of gross domestic product (GDP)","29.3","p"
"2009","Euro area (17 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2009","Euro area (17 countries)","Social protection benefits","Million euro","2,585,356.87","p"
"2009","Euro area (17 countries)","Social protection benefits","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (17 countries)","Social protection benefits","Euro per inhabitant","7,844.79","p"
"2009","Euro area (17 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (17 countries)","Social protection benefits","Million units of national currency",":",""
"2009","Euro area (17 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","28.0","p"
"2009","Euro area (17 countries)","Social protection benefits","Percentage of total expenditure","95.33","p"
"2009","Euro area (17 countries)","Administration costs","Million euro","96,564.69","p"
"2009","Euro area (17 countries)","Administration costs","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (17 countries)","Administration costs","Euro per inhabitant","293.01","p"
"2009","Euro area (17 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (17 countries)","Administration costs","Million units of national currency",":",""
"2009","Euro area (17 countries)","Administration costs","Percentage of gross domestic product (GDP)","1.0","p"
"2009","Euro area (17 countries)","Administration costs","Percentage of total expenditure","3.56","p"
"2009","Euro area (17 countries)","Other expenditure","Million euro","30,074.88","p"
"2009","Euro area (17 countries)","Other expenditure","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (17 countries)","Other expenditure","Euro per inhabitant","91.26","p"
"2009","Euro area (17 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (17 countries)","Other expenditure","Million units of national currency",":",""
"2009","Euro area (17 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2009","Euro area (17 countries)","Other expenditure","Percentage of total expenditure","1.11","p"
"2009","Euro area (17 countries)","Sickness/Health care","Million euro","767,764.74","p"
"2009","Euro area (17 countries)","Sickness/Health care","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (17 countries)","Sickness/Health care","Euro per inhabitant","2,329.64","p"
"2009","Euro area (17 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (17 countries)","Sickness/Health care","Million units of national currency",":",""
"2009","Euro area (17 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","8.3","p"
"2009","Euro area (17 countries)","Sickness/Health care","Percentage of total expenditure","28.31","p"
"2009","Euro area (16 countries)","Total expenditure","Million euro","2,709,340.40","p"
"2009","Euro area (16 countries)","Total expenditure","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (16 countries)","Total expenditure","Euro per inhabitant","8,254.42","p"
"2009","Euro area (16 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (16 countries)","Total expenditure","Million units of national currency",":",""
"2009","Euro area (16 countries)","Total expenditure","Percentage of gross domestic product (GDP)","29.4","p"
"2009","Euro area (16 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2009","Euro area (16 countries)","Social protection benefits","Million euro","2,582,730.98","p"
"2009","Euro area (16 countries)","Social protection benefits","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (16 countries)","Social protection benefits","Euro per inhabitant","7,868.68","p"
"2009","Euro area (16 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (16 countries)","Social protection benefits","Million units of national currency",":",""
"2009","Euro area (16 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","28.0","p"
"2009","Euro area (16 countries)","Social protection benefits","Percentage of total expenditure","95.33","p"
"2009","Euro area (16 countries)","Administration costs","Million euro","96,534.54","p"
"2009","Euro area (16 countries)","Administration costs","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (16 countries)","Administration costs","Euro per inhabitant","294.11","p"
"2009","Euro area (16 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (16 countries)","Administration costs","Million units of national currency",":",""
"2009","Euro area (16 countries)","Administration costs","Percentage of gross domestic product (GDP)","1.0","p"
"2009","Euro area (16 countries)","Administration costs","Percentage of total expenditure","3.56","p"
"2009","Euro area (16 countries)","Other expenditure","Million euro","30,074.88","p"
"2009","Euro area (16 countries)","Other expenditure","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (16 countries)","Other expenditure","Euro per inhabitant","91.63","p"
"2009","Euro area (16 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (16 countries)","Other expenditure","Million units of national currency",":",""
"2009","Euro area (16 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2009","Euro area (16 countries)","Other expenditure","Percentage of total expenditure","1.11","p"
"2009","Euro area (16 countries)","Sickness/Health care","Million euro","767,020.00","p"
"2009","Euro area (16 countries)","Sickness/Health care","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (16 countries)","Sickness/Health care","Euro per inhabitant","2,336.84","p"
"2009","Euro area (16 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (16 countries)","Sickness/Health care","Million units of national currency",":",""
"2009","Euro area (16 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","8.3","p"
"2009","Euro area (16 countries)","Sickness/Health care","Percentage of total expenditure","28.31","p"
"2009","Euro area (15 countries)","Total expenditure","Million euro","2,697,527.11","p"
"2009","Euro area (15 countries)","Total expenditure","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (15 countries)","Total expenditure","Euro per inhabitant","8,355.54","p"
"2009","Euro area (15 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (15 countries)","Total expenditure","Million units of national currency",":",""
"2009","Euro area (15 countries)","Total expenditure","Percentage of gross domestic product (GDP)","29.4","p"
"2009","Euro area (15 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2009","Euro area (15 countries)","Social protection benefits","Million euro","2,571,250.45","p"
"2009","Euro area (15 countries)","Social protection benefits","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (15 countries)","Social protection benefits","Euro per inhabitant","7,964.40","p"
"2009","Euro area (15 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (15 countries)","Social protection benefits","Million units of national currency",":",""
"2009","Euro area (15 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","28.1","p"
"2009","Euro area (15 countries)","Social protection benefits","Percentage of total expenditure","95.32","p"
"2009","Euro area (15 countries)","Administration costs","Million euro","96,218.01","p"
"2009","Euro area (15 countries)","Administration costs","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (15 countries)","Administration costs","Euro per inhabitant","298.03","p"
"2009","Euro area (15 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (15 countries)","Administration costs","Million units of national currency",":",""
"2009","Euro area (15 countries)","Administration costs","Percentage of gross domestic product (GDP)","1.0","p"
"2009","Euro area (15 countries)","Administration costs","Percentage of total expenditure","3.57","p"
"2009","Euro area (15 countries)","Other expenditure","Million euro","30,058.65","p"
"2009","Euro area (15 countries)","Other expenditure","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (15 countries)","Other expenditure","Euro per inhabitant","93.11","p"
"2009","Euro area (15 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (15 countries)","Other expenditure","Million units of national currency",":",""
"2009","Euro area (15 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2009","Euro area (15 countries)","Other expenditure","Percentage of total expenditure","1.11","p"
"2009","Euro area (15 countries)","Sickness/Health care","Million euro","763,408.86","p"
"2009","Euro area (15 countries)","Sickness/Health care","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (15 countries)","Sickness/Health care","Euro per inhabitant","2,364.65","p"
"2009","Euro area (15 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (15 countries)","Sickness/Health care","Million units of national currency",":",""
"2009","Euro area (15 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","8.3","p"
"2009","Euro area (15 countries)","Sickness/Health care","Percentage of total expenditure","28.30","p"
"2009","Euro area (13 countries)","Total expenditure","Million euro","2,692,761.63","p"
"2009","Euro area (13 countries)","Total expenditure","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (13 countries)","Total expenditure","Euro per inhabitant","8,372.43","p"
"2009","Euro area (13 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (13 countries)","Total expenditure","Million units of national currency",":",""
"2009","Euro area (13 countries)","Total expenditure","Percentage of gross domestic product (GDP)","29.5","p"
"2009","Euro area (13 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2009","Euro area (13 countries)","Social protection benefits","Million euro","2,566,560.18","p"
"2009","Euro area (13 countries)","Social protection benefits","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (13 countries)","Social protection benefits","Euro per inhabitant","7,980.04","p"
"2009","Euro area (13 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (13 countries)","Social protection benefits","Million units of national currency",":",""
"2009","Euro area (13 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","28.1","p"
"2009","Euro area (13 countries)","Social protection benefits","Percentage of total expenditure","95.31","p"
"2009","Euro area (13 countries)","Administration costs","Million euro","96,156.17","p"
"2009","Euro area (13 countries)","Administration costs","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (13 countries)","Administration costs","Euro per inhabitant","298.97","p"
"2009","Euro area (13 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (13 countries)","Administration costs","Million units of national currency",":",""
"2009","Euro area (13 countries)","Administration costs","Percentage of gross domestic product (GDP)","1.1","p"
"2009","Euro area (13 countries)","Administration costs","Percentage of total expenditure","3.57","p"
"2009","Euro area (13 countries)","Other expenditure","Million euro","30,045.28","p"
"2009","Euro area (13 countries)","Other expenditure","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (13 countries)","Other expenditure","Euro per inhabitant","93.42","p"
"2009","Euro area (13 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (13 countries)","Other expenditure","Million units of national currency",":",""
"2009","Euro area (13 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2009","Euro area (13 countries)","Other expenditure","Percentage of total expenditure","1.12","p"
"2009","Euro area (13 countries)","Sickness/Health care","Million euro","762,166.72","p"
"2009","Euro area (13 countries)","Sickness/Health care","Million euro (at constant 2010 prices)",":",""
"2009","Euro area (13 countries)","Sickness/Health care","Euro per inhabitant","2,369.76","p"
"2009","Euro area (13 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)",":",""
"2009","Euro area (13 countries)","Sickness/Health care","Million units of national currency",":",""
"2009","Euro area (13 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","8.3","p"
"2009","Euro area (13 countries)","Sickness/Health care","Percentage of total expenditure","28.30","p"
"2009","Euro area (12 countries)","Total expenditure","Million euro","2,684,174.27","p"
"2009","Euro area (12 countries)","Total expenditure","Million euro (at constant 2010 prices)","2,722,258.67","p"
"2009","Euro area (12 countries)","Total expenditure","Euro per inhabitant","8,399.00","p"
"2009","Euro area (12 countries)","Total expenditure","Euro per inhabitant (at constant 2010 prices)","8,518.17","p"
"2009","Euro area (12 countries)","Total expenditure","Million units of national currency",":",""
"2009","Euro area (12 countries)","Total expenditure","Percentage of gross domestic product (GDP)","29.5","p"
"2009","Euro area (12 countries)","Total expenditure","Percentage of total expenditure","100.00","p"
"2009","Euro area (12 countries)","Social protection benefits","Million euro","2,558,153.95","p"
"2009","Euro area (12 countries)","Social protection benefits","Million euro (at constant 2010 prices)","2,594,450.31","p"
"2009","Euro area (12 countries)","Social protection benefits","Euro per inhabitant","8,004.67","p"
"2009","Euro area (12 countries)","Social protection benefits","Euro per inhabitant (at constant 2010 prices)","8,118.25","p"
"2009","Euro area (12 countries)","Social protection benefits","Million units of national currency",":",""
"2009","Euro area (12 countries)","Social protection benefits","Percentage of gross domestic product (GDP)","28.1","p"
"2009","Euro area (12 countries)","Social protection benefits","Percentage of total expenditure","95.31","p"
"2009","Euro area (12 countries)","Administration costs","Million euro","95,999.27","p"
"2009","Euro area (12 countries)","Administration costs","Million euro (at constant 2010 prices)","97,361.36","p"
"2009","Euro area (12 countries)","Administration costs","Euro per inhabitant","300.39","p"
"2009","Euro area (12 countries)","Administration costs","Euro per inhabitant (at constant 2010 prices)","304.65","p"
"2009","Euro area (12 countries)","Administration costs","Million units of national currency",":",""
"2009","Euro area (12 countries)","Administration costs","Percentage of gross domestic product (GDP)","1.1","p"
"2009","Euro area (12 countries)","Administration costs","Percentage of total expenditure","3.58","p"
"2009","Euro area (12 countries)","Other expenditure","Million euro","30,021.04","p"
"2009","Euro area (12 countries)","Other expenditure","Million euro (at constant 2010 prices)","30,447.00","p"
"2009","Euro area (12 countries)","Other expenditure","Euro per inhabitant","93.94","p"
"2009","Euro area (12 countries)","Other expenditure","Euro per inhabitant (at constant 2010 prices)","95.27","p"
"2009","Euro area (12 countries)","Other expenditure","Million units of national currency",":",""
"2009","Euro area (12 countries)","Other expenditure","Percentage of gross domestic product (GDP)","0.3","p"
"2009","Euro area (12 countries)","Other expenditure","Percentage of total expenditure","1.12","p"
"2009","Euro area (12 countries)","Sickness/Health care","Million euro","759,400.81","p"
"2009","Euro area (12 countries)","Sickness/Health care","Million euro (at constant 2010 prices)","770,175.56","p"
"2009","Euro area (12 countries)","Sickness/Health care","Euro per inhabitant","2,376.23","p"
"2009","Euro area (12 countries)","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)","2,409.94","p"
"2009","Euro area (12 countries)","Sickness/Health care","Million units of national currency",":",""
"2009","Euro area (12 countries)","Sickness/Health care","Percentage of gross domestic product (GDP)","8.3","p"
"2009","Euro area (12 countries)","Sickness/Health care","Percentage of total expenditure","28.29","p"
"2009","Belgium","Total expenditure","Million euro","104,598.54",""
"2009","Belgium","Total expenditure","Million euro (at constant 2010 prices)","106,538.61",""
"2009","Belgium","Total expenditure","Euro per inhabitant","9,688.20",""
"2009","Belgium","Total expenditure","Euro per inhabitant (at constant 2010 prices)","9,867.89",""
"2009","Belgium","Total expenditure","Million units of national currency","104,598.54",""
"2009","Belgium","Total expenditure","Percentage of gross domestic product (GDP)","30.0",""
"2009","Belgium","Total expenditure","Percentage of total expenditure","100.00",""
"2009","Belgium","Social protection benefits","Million euro","99,424.76",""
"2009","Belgium","Social protection benefits","Million euro (at constant 2010 prices)","101,268.87",""
"2009","Belgium","Social protection benefits","Euro per inhabitant","9,208.99",""
"2009","Belgium","Social protection benefits","Euro per inhabitant (at constant 2010 prices)","9,379.79",""
"2009","Belgium","Social protection benefits","Million units of national currency","99,424.76",""
"2009","Belgium","Social protection benefits","Percentage of gross domestic product (GDP)","28.5",""
"2009","Belgium","Social protection benefits","Percentage of total expenditure","95.05",""
"2009","Belgium","Administration costs","Million euro","3,229.53",""
"2009","Belgium","Administration costs","Million euro (at constant 2010 prices)","3,289.43",""
"2009","Belgium","Administration costs","Euro per inhabitant","299.13",""
"2009","Belgium","Administration costs","Euro per inhabitant (at constant 2010 prices)","304.68",""
"2009","Belgium","Administration costs","Million units of national currency","3,229.53",""
"2009","Belgium","Administration costs","Percentage of gross domestic product (GDP)","0.9",""
"2009","Belgium","Administration costs","Percentage of total expenditure","3.09",""
"2009","Belgium","Other expenditure","Million euro","1,944.24",""
"2009","Belgium","Other expenditure","Million euro (at constant 2010 prices)","1,980.31",""
"2009","Belgium","Other expenditure","Euro per inhabitant","180.08",""
"2009","Belgium","Other expenditure","Euro per inhabitant (at constant 2010 prices)","183.42",""
"2009","Belgium","Other expenditure","Million units of national currency","1,944.24",""
"2009","Belgium","Other expenditure","Percentage of gross domestic product (GDP)","0.6",""
"2009","Belgium","Other expenditure","Percentage of total expenditure","1.86",""
"2009","Belgium","Sickness/Health care","Million euro","28,223.14",""
"2009","Belgium","Sickness/Health care","Million euro (at constant 2010 prices)","28,746.61",""
"2009","Belgium","Sickness/Health care","Euro per inhabitant","2,614.10",""
"2009","Belgium","Sickness/Health care","Euro per inhabitant (at constant 2010 prices)","2,662.59",""
"2009","Belgium","Sickness/Health care","Million units of national currency","28,223.14",""
"2009","Belgium","Sickness/Health care","Percentage of gross domestic product (GDP)","8.1",""
"2009","Belgium","Sickness/Health care","Percentage of total expenditure","26.98",""
"2009","Bulgaria","Total expenditure","Million euro","6,013.04",""
"2009","Bulgaria","Total expenditure","Million euro (at constant 2010 prices)","6,181.55",""
"2009","Bulgaria","Total expenditure","Euro per inhabitant","807.72",""
"2009","Bulgaria","Total expenditure","Euro per inhabitant (at constant 2010 prices)","830.36",""
"2009","Bulgaria","Total expenditure","Million units of national currency","11,760.31",""
"2009","Bulgaria","Total expenditure","Percentage of gross domestic product (GDP)","16.1",""
"2009","Bulgaria","Total expenditure","Percentage of total expenditure","100.00",""
"2009","Bulgaria","Social protection benefits","Million euro","5,821.74",""
"2009","Bulgaria","Social protection benefits","Million euro (at constant 2010 prices)","5,984.88",""
"2009","Bulgaria","Social protection benefits","Euro per inhabitant","782.02",""
"2009","Bulgaria","Social protection benefits","Euro per inhabitant (at constant 2010 prices)","803.94",""
"2009","Bulgaria","Social protection benefits","Million units of national currency","11,386.15",""
"2009","Bulgaria","Social protection benefits","Percentage of gross domestic product (GDP)","15.6",""
"2009","Bulgaria","Social protection benefits","Percentage of total expenditure","96.82",""
"2009","Bulgaria","Administration costs","Million euro","144.14","e"
"2009","Bulgaria","Administration costs","Million euro (at constant 2010 prices)","148.18","e"
"2009","Bulgaria","Administration costs","Euro per inhabitant","19.36","e"
"2009","Bulgaria","Administration costs","Euro per inhabitant (at constant 2010 prices)","19.90","e"
"2009","Bulgaria","Administration costs","Million units of national currency","281.90","e"
"2009","Bulgaria","Administration costs","Percentage of gross domestic product (GDP)","0.4","e"
"2009","Bulgaria","Administration costs","Percentage of total expenditure","2.40","e"
"2009","Bulgaria","Other expenditure","Million euro","47.17",""
"2009","Bulgaria","Other expenditure","Million euro (at constant 2010 prices)","48.49",""
"2009","Bulgaria","Other expenditure","Euro per inhabitant","6.34",""
